:START_ID,:END_ID,:TYPE,properties
selection4006,modifier27403,Uses Modifier,
selection4006,modifier27404,Uses Modifier,
selection4007,modifier27405,Uses Modifier,
selection4007,modifier27406,Uses Modifier,
selection4008,modifier27407,Uses Modifier,
selection4008,modifier27408,Uses Modifier,
selection4008,modifier27409,Uses Modifier,
selection4008,modifier27410,Uses Modifier,
selection4008,modifier27411,Uses Modifier,
selection4009,modifier27412,Uses Modifier,
selection4009,modifier27413,Uses Modifier,
selection4009,modifier27414,Uses Modifier,
selection4010,modifier27415,Uses Modifier,
selection4011,modifier27416,Uses Modifier,
selection4012,modifier27417,Uses Modifier,
selection4014,modifier27418,Uses Modifier,
selection4015,modifier27419,Uses Modifier,
selection4015,modifier27420,Uses Modifier,
filter1252,modifier27421,Uses Modifier,
filter1252,modifier27422,Uses Modifier,
filter1252,modifier27423,Uses Modifier,
filter1252,modifier27424,Uses Modifier,
filter1252,modifier27425,Uses Modifier,
selection4016,modifier27426,Uses Modifier,
filter1253,modifier27427,Uses Modifier,
filter1253,modifier27428,Uses Modifier,
filter1253,modifier27429,Uses Modifier,
filter1253,modifier27430,Uses Modifier,
filter1253,modifier27431,Uses Modifier,
filter1253,modifier27432,Uses Modifier,
filter1253,modifier27433,Uses Modifier,
filter1253,modifier27434,Uses Modifier,
selection4017,modifier27435,Uses Modifier,
selection4018,modifier27436,Uses Modifier,
selection4020,modifier27437,Uses Modifier,
selection4020,modifier27438,Uses Modifier,
selection4020,modifier27439,Uses Modifier,
selection4021,modifier27440,Uses Modifier,
selection4021,modifier27441,Uses Modifier,
selection4021,modifier27442,Uses Modifier,
selection4021,modifier27443,Uses Modifier,
selection4022,modifier27444,Uses Modifier,
selection4022,modifier27445,Uses Modifier,
selection4022,modifier27446,Uses Modifier,
selection4024,modifier27447,Uses Modifier,
selection4024,modifier27448,Uses Modifier,
selection4024,modifier27449,Uses Modifier,
selection4024,modifier27450,Uses Modifier,
selection4024,modifier27451,Uses Modifier,
selection4026,modifier27452,Uses Modifier,
selection4026,modifier27453,Uses Modifier,
selection4027,modifier27454,Uses Modifier,
selection4027,modifier27455,Uses Modifier,
selection4027,modifier27456,Uses Modifier,
selection4027,modifier27457,Uses Modifier,
filter1254,modifier27458,Uses Modifier,
selection4029,modifier27459,Uses Modifier,
selection4029,modifier27460,Uses Modifier,
selection4029,modifier27461,Uses Modifier,
selection4029,modifier27462,Uses Modifier,
selection4029,modifier27463,Uses Modifier,
selection4031,modifier27464,Uses Modifier,
selection4031,modifier27465,Uses Modifier,
selection4031,modifier27466,Uses Modifier,
selection4031,modifier27467,Uses Modifier,
selection4032,modifier27468,Uses Modifier,
selection4032,modifier27469,Uses Modifier,
selection4033,modifier27470,Uses Modifier,
selection4034,modifier27471,Uses Modifier,
selection4034,modifier27472,Uses Modifier,
selection4034,modifier27473,Uses Modifier,
selection4035,modifier27474,Uses Modifier,
selection4035,modifier27475,Uses Modifier,
selection4037,modifier27476,Uses Modifier,
selection4037,modifier27477,Uses Modifier,
selection4038,modifier27478,Uses Modifier,
selection4038,modifier27479,Uses Modifier,
selection4039,modifier27480,Uses Modifier,
selection4039,modifier27481,Uses Modifier,
selection4039,modifier27482,Uses Modifier,
selection4039,modifier27483,Uses Modifier,
selection4039,modifier27484,Uses Modifier,
selection4039,modifier27485,Uses Modifier,
selection4039,modifier27486,Uses Modifier,
selection4039,modifier27487,Uses Modifier,
selection4039,modifier27488,Uses Modifier,
selection4039,modifier27489,Uses Modifier,
selection4039,modifier27490,Uses Modifier,
selection4040,modifier27491,Uses Modifier,
selection4041,modifier27492,Uses Modifier,
selection4041,modifier27493,Uses Modifier,
selection4041,modifier27494,Uses Modifier,
selection4041,modifier27495,Uses Modifier,
