:START_ID,:END_ID,:TYPE,properties
Image:/systemctl,/systemctl,Value,
CommandLine:cbdaemon,cbdaemon,Value,
CommandLine:stop,stop,Value,
Image:/systemctl,/systemctl,Value,
CommandLine:cbdaemon,cbdaemon,Value,
CommandLine:disable,disable,Value,
Image:/setenforce,/setenforce,Value,
CommandLine:0,0,Value,
Image:/systemctl,/systemctl,Value,
CommandLine:stop,stop,Value,
CommandLine:falcon-sensor,falcon-sensor,Value,
Image:/systemctl,/systemctl,Value,
CommandLine:disable,disable,Value,
CommandLine:falcon-sensor,falcon-sensor,Value,
Image:/curl,/curl,Value,
CommandLine: -A , -A ,Value,
CommandLine: --user-agent , --user-agent ,Value,
Image:/nice,/nice,Value,
CommandLine:/bin/bash,/bin/bash,Value,
CommandLine:/bin/dash,/bin/dash,Value,
CommandLine:/bin/fish,/bin/fish,Value,
CommandLine:/bin/sh,/bin/sh,Value,
CommandLine:/bin/zsh,/bin/zsh,Value,
ParentImage:/tmp/,/tmp/,Value,
Image:/bash,/bash,Value,
Image:/csh,/csh,Value,
Image:/dash,/dash,Value,
Image:/fish,/fish,Value,
Image:/ksh,/ksh,Value,
Image:/sh,/sh,Value,
Image:/zsh,/zsh,Value,
Image:/mount,/mount,Value,
CommandLine:hidepid=2,hidepid=2,Value,
CommandLine: -o , -o ,Value,
ParentImage:/opt/atlassian/confluence/,/opt/atlassian/confluence/,Value,
ParentImage:/java,/java,Value,
CommandLine:/bin/sh,/bin/sh,Value,
CommandLine:bash,bash,Value,
CommandLine:dash,dash,Value,
CommandLine:ksh,ksh,Value,
CommandLine:zsh,zsh,Value,
CommandLine:csh,csh,Value,
CommandLine:fish,fish,Value,
CommandLine:curl,curl,Value,
CommandLine:wget,wget,Value,
CommandLine:python,python,Value,
Image:/git,/git,Value,
CommandLine: clone , clone ,Value,
CommandLine:exploit,exploit,Value,
CommandLine:Vulns,Vulns,Value,
CommandLine:vulnerability,vulnerability,Value,
CommandLine:RCE,RCE,Value,
CommandLine:RemoteCodeExecution,RemoteCodeExecution,Value,
CommandLine:Invoke-,Invoke-,Value,
CommandLine:CVE-,CVE-,Value,
CommandLine:poc-,poc-,Value,
CommandLine:ProofOfConcept,ProofOfConcept,Value,
CommandLine:proxyshell,proxyshell,Value,
CommandLine:log4shell,log4shell,Value,
CommandLine:eternalblue,eternalblue,Value,
CommandLine:eternal-blue,eternal-blue,Value,
CommandLine:MS17-,MS17-,Value,
ParentCommandLine:bash -i,bash -i,Value,
Image:/nohup,/nohup,Value,
Image:/cp,/cp,Value,
CommandLine:/tmp/,/tmp/,Value,
CommandLine:passwd,passwd,Value,
CommandLine:shadow,shadow,Value,
CommandLine:IyEvYmluL2Jhc2,IyEvYmluL2Jhc2,Value,
CommandLine:IyEvYmluL2Rhc2,IyEvYmluL2Rhc2,Value,
CommandLine:IyEvYmluL3pza,IyEvYmluL3pza,Value,
CommandLine:IyEvYmluL2Zpc2,IyEvYmluL2Zpc2,Value,
CommandLine:IyEvYmluL3No,IyEvYmluL3No,Value,
WholeLog:exited on signal 6 (core dumped),exited on signal 6 (core dumped),Value,
WholeLog:exit signal Segmentation Fault,exit signal Segmentation Fault,Value,
WholeLog:__pthread_tpp_change_priority: Assertion `new_prio == -1 || (new_prio >= fifo_min_prio && new_prio <= fifo_max_prio),__pthread_tpp_change_priority: Assertion `new_prio == -1 || (new_prio >= fifo_min_prio && new_prio <= fifo_max_prio),Value,
c-useragent:user-agent,user-agent,Value,
c-useragent:Mozilla/3.0 ,Mozilla/3.0 ,Value,
c-useragent:Mozilla/2.0 ,Mozilla/2.0 ,Value,
c-useragent:Mozilla/1.0 ,Mozilla/1.0 ,Value,
c-useragent:Mozilla ,Mozilla ,Value,
c-useragent: Mozilla/, Mozilla/,Value,
c-useragent:Mozila/,Mozila/,Value,
c-useragent:Mozilla/4.0 (compatible; MSIE 6.0; MS Web Services Client Protocol,Mozilla/4.0 (compatible; MSIE 6.0; MS Web Services Client Protocol,Value,
c-useragent: (compatible;MSIE , (compatible;MSIE ,Value,
c-useragent:.0;Windows NT ,.0;Windows NT ,Value,
c-useragent:loader,loader,Value,
c-useragent:_,_,Value,
c-useragent:CertUtil URL Agent,CertUtil URL Agent,Value,
c-useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.0),Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.0),Value,
c-useragent:Mozilla/5.0 (Windows NT 6.3; WOW64; rv:28.0) Gecko/20100101 Firefox/28.0,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:28.0) Gecko/20100101 Firefox/28.0,Value,
c-useragent:HTTPS,HTTPS,Value,
c-useragent:Erbium-UA-4ce7c27cb4be9d32e333bf032c88235a,Erbium-UA-4ce7c27cb4be9d32e333bf032c88235a,Value,
c-useragent:x,x,Value,
c-useragent:xxx,xxx,Value,
c-useragent:Microsoft BITS/,Microsoft BITS/,Value,
cs-host:1,1,Value,
cs-host:2,2,Value,
cs-host:3,3,Value,
cs-host:4,4,Value,
cs-host:5,5,Value,
cs-host:6,6,Value,
cs-host:7,7,Value,
cs-host:8,8,Value,
cs-host:9,9,Value,
c-useragent:Microsoft-WebDAV-MiniRedir/,Microsoft-WebDAV-MiniRedir/,Value,
cs-method:GET,GET,Value,
c-useragent:Mozilla/5.0 (Windows NT 6.1; WOW64; rv:53.0) Gecko/20100101 Chrome /53.0,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:53.0) Gecko/20100101 Chrome /53.0,Value,
c-useragent:Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1),Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1),Value,
c-useragent:Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0),Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0),Value,
c-useragent:Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0; .NET CLR  1.1.4322),Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0; .NET CLR  1.1.4322),Value,
c-useragent:HttpBrowser/1.0,HttpBrowser/1.0,Value,
c-useragent:*<|>*,*<|>*,Value,
c-useragent:nsis_inetc (mozilla),nsis_inetc (mozilla),Value,
c-useragent:Wget/1.9+cvs-stable (Red Hat modified),Wget/1.9+cvs-stable (Red Hat modified),Value,
c-useragent:Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; .NET CLR 1.1.4322),Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; .NET CLR 1.1.4322),Value,
c-useragent:*zeroup*,*zeroup*,Value,
c-useragent:Mozilla/5.0 (Windows NT 5.1 ; v.*,Mozilla/5.0 (Windows NT 5.1 ; v.*,Value,
c-useragent:* adlib/*,* adlib/*,Value,
c-useragent:* tiny,* tiny,Value,
c-useragent:* BGroom *,* BGroom *,Value,
c-useragent:* changhuatong,* changhuatong,Value,
c-useragent:* CholTBAgent,* CholTBAgent,Value,
c-useragent:Mozilla/5.0 WinInet,Mozilla/5.0 WinInet,Value,
c-useragent:RookIE/1.0,RookIE/1.0,Value,
c-useragent:M,M,Value,
c-useragent:Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),Value,
c-useragent:Mozilla/4.0 (compatible;MSIE 7.0;Windows NT 6.0),Mozilla/4.0 (compatible;MSIE 7.0;Windows NT 6.0),Value,
c-useragent:backdoorbot,backdoorbot,Value,
c-useragent:Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.3) Gecko/20100401 Firefox/3.6.1 (.NET CLR 3.5.30731),Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.3) Gecko/20100401 Firefox/3.6.1 (.NET CLR 3.5.30731),Value,
c-useragent:Opera/8.81 (Windows NT 6.0; U; en),Opera/8.81 (Windows NT 6.0; U; en),Value,
c-useragent:Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.3) Gecko/20100401 Firefox/3.6.1 (.NET CLR 3.5.30729),Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.3) Gecko/20100401 Firefox/3.6.1 (.NET CLR 3.5.30729),Value,
c-useragent:Opera,Opera,Value,
c-useragent:Mozilla/4.0 (compatible; MSIE 5.0; Windows 98),Mozilla/4.0 (compatible; MSIE 5.0; Windows 98),Value,
c-useragent:Mozilla/4.0 (compatible; MSIE 5.01; Windows NT 5.0),Mozilla/4.0 (compatible; MSIE 5.01; Windows NT 5.0),Value,
c-useragent:MSIE,MSIE,Value,
