:START_ID,:END_ID,:TYPE,properties
Payload:Invoke-Mimikittenz,Invoke-Mimikittenz,Value,
Payload:Invoke-MITM6,Invoke-MITM6,Value,
Payload:Invoke-NanoDump,Invoke-NanoDump,Value,
Payload:Invoke-NetRipper,Invoke-NetRipper,Value,
Payload:Invoke-Nightmare,Invoke-Nightmare,Value,
Payload:Invoke-NinjaCopy,Invoke-NinjaCopy,Value,
Payload:Invoke-OfficeScrape,Invoke-OfficeScrape,Value,
Payload:Invoke-OxidResolver,Invoke-OxidResolver,Value,
Payload:Invoke-P0wnedshell,Invoke-P0wnedshell,Value,
Payload:Invoke-Paranoia,Invoke-Paranoia,Value,
Payload:Invoke-PortScan,Invoke-PortScan,Value,
Payload:Invoke-PoshRatHttp,Invoke-PoshRatHttp,Value,
Payload:Invoke-PostExfil,Invoke-PostExfil,Value,
Payload:Invoke-PowerDump,Invoke-PowerDump,Value,
Payload:Invoke-PowerDPAPI,Invoke-PowerDPAPI,Value,
Payload:Invoke-PowerShellTCP,Invoke-PowerShellTCP,Value,
Payload:Invoke-PowerShellWMI,Invoke-PowerShellWMI,Value,
Payload:Invoke-PPLDump,Invoke-PPLDump,Value,
Payload:Invoke-PsExec,Invoke-PsExec,Value,
Payload:Invoke-PSInject,Invoke-PSInject,Value,
Payload:Invoke-PsUaCme,Invoke-PsUaCme,Value,
Payload:Invoke-ReflectivePEInjection,Invoke-ReflectivePEInjection,Value,
Payload:Invoke-ReverseDNSLookup,Invoke-ReverseDNSLookup,Value,
Payload:Invoke-Rubeus,Invoke-Rubeus,Value,
Payload:Invoke-RunAs,Invoke-RunAs,Value,
Payload:Invoke-SafetyKatz,Invoke-SafetyKatz,Value,
Payload:Invoke-SauronEye,Invoke-SauronEye,Value,
Payload:Invoke-SCShell,Invoke-SCShell,Value,
Payload:Invoke-Seatbelt,Invoke-Seatbelt,Value,
Payload:Invoke-ServiceAbuse,Invoke-ServiceAbuse,Value,
Payload:Invoke-ShadowSpray,Invoke-ShadowSpray,Value,
Payload:Invoke-Sharp,Invoke-Sharp,Value,
Payload:Invoke-Shellcode,Invoke-Shellcode,Value,
Payload:Invoke-SMBScanner,Invoke-SMBScanner,Value,
Payload:Invoke-Snaffler,Invoke-Snaffler,Value,
Payload:Invoke-Spoolsample,Invoke-Spoolsample,Value,
Payload:Invoke-SpraySinglePassword,Invoke-SpraySinglePassword,Value,
Payload:Invoke-SSHCommand,Invoke-SSHCommand,Value,
Payload:Invoke-StandIn,Invoke-StandIn,Value,
Payload:Invoke-StickyNotesExtract,Invoke-StickyNotesExtract,Value,
Payload:Invoke-SystemCommand,Invoke-SystemCommand,Value,
Payload:Invoke-Tasksbackdoor,Invoke-Tasksbackdoor,Value,
Payload:Invoke-Tater,Invoke-Tater,Value,
Payload:Invoke-Thunderfox,Invoke-Thunderfox,Value,
Payload:Invoke-ThunderStruck,Invoke-ThunderStruck,Value,
Payload:Invoke-TokenManipulation,Invoke-TokenManipulation,Value,
Payload:Invoke-Tokenvator,Invoke-Tokenvator,Value,
Payload:Invoke-TotalExec,Invoke-TotalExec,Value,
Payload:Invoke-UrbanBishop,Invoke-UrbanBishop,Value,
Payload:Invoke-UserHunter,Invoke-UserHunter,Value,
Payload:Invoke-VoiceTroll,Invoke-VoiceTroll,Value,
Payload:Invoke-Whisker,Invoke-Whisker,Value,
Payload:Invoke-WinEnum,Invoke-WinEnum,Value,
Payload:Invoke-winPEAS,Invoke-winPEAS,Value,
Payload:Invoke-WireTap,Invoke-WireTap,Value,
Payload:Invoke-WmiCommand,Invoke-WmiCommand,Value,
Payload:Invoke-WMIExec,Invoke-WMIExec,Value,
Payload:Invoke-WScriptBypassUAC,Invoke-WScriptBypassUAC,Value,
Payload:Invoke-Zerologon,Invoke-Zerologon,Value,
Payload:MailRaider,MailRaider,Value,
Payload:New-ADIDNSNode,New-ADIDNSNode,Value,
Payload:New-DNSRecordArray,New-DNSRecordArray,Value,
Payload:New-HoneyHash,New-HoneyHash,Value,
Payload:New-InMemoryModule,New-InMemoryModule,Value,
Payload:New-MachineAccount,New-MachineAccount,Value,
Payload:New-SOASerialNumberArray,New-SOASerialNumberArray,Value,
Payload:Out-Minidump,Out-Minidump,Value,
Payload:Port-Scan,Port-Scan,Value,
Payload:PowerBreach,PowerBreach,Value,
Payload:powercat ,powercat ,Value,
Payload:PowerUp,PowerUp,Value,
Payload:PowerView,PowerView,Value,
Payload:Remove-ADIDNSNode,Remove-ADIDNSNode,Value,
Payload:Remove-MachineAccount,Remove-MachineAccount,Value,
Payload:Remove-Update,Remove-Update,Value,
Payload:Rename-ADIDNSNode,Rename-ADIDNSNode,Value,
Payload:Revoke-ADIDNSPermission,Revoke-ADIDNSPermission,Value,
Payload:Set-ADIDNSNode,Set-ADIDNSNode,Value,
Payload:Set-MacAttribute,Set-MacAttribute,Value,
Payload:Set-MachineAccountAttribute,Set-MachineAccountAttribute,Value,
Payload:Set-Wallpaper,Set-Wallpaper,Value,
Payload:Show-TargetScreen,Show-TargetScreen,Value,
Payload:Start-CaptureServer,Start-CaptureServer,Value,
Payload:Start-Dnscat2,Start-Dnscat2,Value,
Payload:Start-WebcamRecorder,Start-WebcamRecorder,Value,
Payload:Veeam-Get-Creds,Veeam-Get-Creds,Value,
Payload:VolumeShadowCopyTools,VolumeShadowCopyTools,Value,
ContextInfo:Reset-ComputerMachinePassword,Reset-ComputerMachinePassword,Value,
"Payload:(?i)(set).*&&\\s?set.*(environment|invoke|\\$?\\{?input).*&&.*""","(?i)(set).*&&\\s?set.*(environment|invoke|\\$?\\{?input).*&&.*""",Value,
ContextInfo: = ServerRemoteHost , = ServerRemoteHost ,Value,
ContextInfo:wsmprovhost.exe,wsmprovhost.exe,Value,
ContextInfo:\\Windows\\system32\\WindowsPowerShell\\v1.0\\Modules\\Microsoft.PowerShell.Archive\\Microsoft.PowerShell.Archive.psm1,\\Windows\\system32\\WindowsPowerShell\\v1.0\\Modules\\Microsoft.PowerShell.Archive\\Microsoft.PowerShell.Archive.psm1,Value,
Payload:Get-Clipboard,Get-Clipboard,Value,
ContextInfo:Add-ConstrainedDelegationBackdoor.ps1,Add-ConstrainedDelegationBackdoor.ps1,Value,
ContextInfo:Add-Exfiltration.ps1,Add-Exfiltration.ps1,Value,
ContextInfo:Add-Persistence.ps1,Add-Persistence.ps1,Value,
ContextInfo:Add-RegBackdoor.ps1,Add-RegBackdoor.ps1,Value,
ContextInfo:Add-RemoteRegBackdoor.ps1,Add-RemoteRegBackdoor.ps1,Value,
ContextInfo:Add-ScrnSaveBackdoor.ps1,Add-ScrnSaveBackdoor.ps1,Value,
ContextInfo:BadSuccessor.ps1,BadSuccessor.ps1,Value,
ContextInfo:Check-VM.ps1,Check-VM.ps1,Value,
ContextInfo:ConvertTo-ROT13.ps1,ConvertTo-ROT13.ps1,Value,
ContextInfo:Copy-VSS.ps1,Copy-VSS.ps1,Value,
ContextInfo:Create-MultipleSessions.ps1,Create-MultipleSessions.ps1,Value,
ContextInfo:DNS_TXT_Pwnage.ps1,DNS_TXT_Pwnage.ps1,Value,
ContextInfo:dnscat2.ps1,dnscat2.ps1,Value,
ContextInfo:Do-Exfiltration.ps1,Do-Exfiltration.ps1,Value,
ContextInfo:DomainPasswordSpray.ps1,DomainPasswordSpray.ps1,Value,
ContextInfo:Download_Execute.ps1,Download_Execute.ps1,Value,
ContextInfo:Download-Execute-PS.ps1,Download-Execute-PS.ps1,Value,
ContextInfo:Enabled-DuplicateToken.ps1,Enabled-DuplicateToken.ps1,Value,
ContextInfo:Enable-DuplicateToken.ps1,Enable-DuplicateToken.ps1,Value,
ContextInfo:Execute-Command-MSSQL.ps1,Execute-Command-MSSQL.ps1,Value,
ContextInfo:Execute-DNSTXT-Code.ps1,Execute-DNSTXT-Code.ps1,Value,
ContextInfo:Execute-OnTime.ps1,Execute-OnTime.ps1,Value,
ContextInfo:ExetoText.ps1,ExetoText.ps1,Value,
ContextInfo:Exploit-Jboss.ps1,Exploit-Jboss.ps1,Value,
ContextInfo:Find-AVSignature.ps1,Find-AVSignature.ps1,Value,
ContextInfo:Find-Fruit.ps1,Find-Fruit.ps1,Value,
ContextInfo:Find-GPOLocation.ps1,Find-GPOLocation.ps1,Value,
ContextInfo:Find-TrustedDocuments.ps1,Find-TrustedDocuments.ps1,Value,
ContextInfo:FireBuster.ps1,FireBuster.ps1,Value,
ContextInfo:FireListener.ps1,FireListener.ps1,Value,
ContextInfo:Get-ApplicationHost.ps1,Get-ApplicationHost.ps1,Value,
ContextInfo:Get-ChromeDump.ps1,Get-ChromeDump.ps1,Value,
