:START_ID,:END_ID,:TYPE,properties
WholeLog:quoted string not properly terminated,WholeLog,Field,
WholeLog:You have an error in your SQL syntax,WholeLog,Field,
WholeLog:Unclosed quotation mark,WholeLog,Field,
"WholeLog:near ""*"": syntax error",WholeLog,Field,
WholeLog:SELECTs to the left and right of UNION do not have the same number of result columns,WholeLog,Field,
verb:create,verb,Field,
objectRef.resource:pods,objectRef.resource,Field,
objectRef.subresource:exec,objectRef.subresource,Field,
objectRef.apiGroup:rbac.authorization.k8s.io,objectRef.apiGroup,Field,
objectRef.resource:clusterrolebindings,objectRef.resource,Field,
objectRef.resource:rolebindings,objectRef.resource,Field,
verb:create,verb,Field,
verb:delete,verb,Field,
verb:patch,verb,Field,
verb:replace,verb,Field,
verb:update,verb,Field,
verb:patch,verb,Field,
apiGroup:apps,apiGroup,Field,
objectRef.resource:deployments,objectRef.resource,Field,
verb:delete,verb,Field,
objectRef.resource:events,objectRef.resource,Field,
verb:create,verb,Field,
objectRef.resource:pods,objectRef.resource,Field,
objectRef.namespace:kube-system,objectRef.namespace,Field,
objectRef.apiGroup:batch,objectRef.apiGroup,Field,
objectRef.resource:cronjobs,objectRef.resource,Field,
objectRef.resource:jobs,objectRef.resource,Field,
verb:create,verb,Field,
verb:delete,verb,Field,
verb:patch,verb,Field,
verb:replace,verb,Field,
verb:update,verb,Field,
objectRef.resource:secrets,objectRef.resource,Field,
verb:create,verb,Field,
verb:delete,verb,Field,
verb:patch,verb,Field,
verb:replace,verb,Field,
verb:update,verb,Field,
objectRef.apiGroup:admissionregistration.k8s.io,objectRef.apiGroup,Field,
objectRef.resource:mutatingwebhookconfigurations,objectRef.resource,Field,
objectRef.resource:validatingwebhookconfigurations,objectRef.resource,Field,
verb:create,verb,Field,
verb:delete,verb,Field,
verb:patch,verb,Field,
verb:replace,verb,Field,
verb:update,verb,Field,
WholeLog:SuspiciousOperation,WholeLog,Field,
WholeLog:DisallowedHost,WholeLog,Field,
WholeLog:DisallowedModelAdminLookup,WholeLog,Field,
WholeLog:DisallowedModelAdminToField,WholeLog,Field,
WholeLog:DisallowedRedirect,WholeLog,Field,
WholeLog:InvalidSessionKey,WholeLog,Field,
WholeLog:RequestDataTooBig,WholeLog,Field,
WholeLog:SuspiciousFileOperation,WholeLog,Field,
WholeLog:SuspiciousMultipartForm,WholeLog,Field,
WholeLog:SuspiciousSession,WholeLog,Field,
WholeLog:TooManyFieldsSent,WholeLog,Field,
WholeLog:PermissionDenied,WholeLog,Field,
WholeLog:ParseErrorException,WholeLog,Field,
WholeLog:VelocityException,WholeLog,Field,
WholeLog:TemplateInitException,WholeLog,Field,
EventLog:RPCFW,EventLog,Field,
InterfaceUuid:4b324fc8-1670-01d3-1278-5a47bf6ee188,InterfaceUuid,Field,
OpNum:12,OpNum,Field,
EventLog:RPCFW,EventLog,Field,
InterfaceUuid:367abb81-9844-35f1-ad32-98f038001003,InterfaceUuid,Field,
EventLog:RPCFW,EventLog,Field,
InterfaceUuid:e3514235-4b06-11d1-ab04-00c04fc2dcd2,InterfaceUuid,Field,
OpNum:0,OpNum,Field,
OpNum:1,OpNum,Field,
OpNum:12,OpNum,Field,
EventLog:RPCFW,EventLog,Field,
InterfaceUuid:6bffd098-a112-3610-9833-46c3f87e345a,InterfaceUuid,Field,
OpNum:2,OpNum,Field,
EventLog:RPCFW,EventLog,Field,
InterfaceUuid:86d35949-83c9-4044-b424-db363231fd0c,InterfaceUuid,Field,
OpNum:1,OpNum,Field,
OpNum:3,OpNum,Field,
OpNum:4,OpNum,Field,
OpNum:10,OpNum,Field,
OpNum:11,OpNum,Field,
OpNum:12,OpNum,Field,
OpNum:13,OpNum,Field,
OpNum:14,OpNum,Field,
OpNum:15,OpNum,Field,
EventLog:RPCFW,EventLog,Field,
InterfaceUuid:1ff70682-0a51-30e8-076d-740be8cee98b,InterfaceUuid,Field,
OpNum:0,OpNum,Field,
OpNum:1,OpNum,Field,
EventLog:RPCFW,EventLog,Field,
InterfaceUuid:378e52b0-c0a9-11cf-822d-00aa0051e40f,InterfaceUuid,Field,
OpNum:0,OpNum,Field,
OpNum:1,OpNum,Field,
EventLog:RPCFW,EventLog,Field,
InterfaceUuid:12345678-1234-abcd-ef00-0123456789ab,InterfaceUuid,Field,
InterfaceUuid:76f03f96-cdfd-44fc-a22c-64950a001209,InterfaceUuid,Field,
InterfaceUuid:0b6edbfa-4a24-4fc6-8a23-942b1eca65d1,InterfaceUuid,Field,
InterfaceUuid:ae33069b-a2a8-46ee-a235-ddfd339be281,InterfaceUuid,Field,
EventLog:RPCFW,EventLog,Field,
InterfaceUuid:4d9f4ab8-7d1c-11cf-861e-0020af6e7c57,InterfaceUuid,Field,
