:START_ID,:END_ID,:TYPE,properties
RelativeTargetName:.tmp,RelativeTargetName,Field,
AttributeLDAPDisplayName:msDS-AllowedToDelegateTo,AttributeLDAPDisplayName,Field,
ObjectClass:user,ObjectClass,Field,
AttributeLDAPDisplayName:servicePrincipalName,AttributeLDAPDisplayName,Field,
AttributeLDAPDisplayName:msDS-AllowedToActOnBehalfOfOtherIdentity,AttributeLDAPDisplayName,Field,
AllowedToDelegateTo:,AllowedToDelegateTo,Field,
AllowedToDelegateTo:-,AllowedToDelegateTo,Field,
AllowedToDelegateTo:None,AllowedToDelegateTo,Field,
RelativeTargetName:\\Internet Explorer\\iertutil.dll,RelativeTargetName,Field,
SubjectUserName:$,SubjectUserName,Field,
PrivilegeList:SeLoadDriverPrivilege,PrivilegeList,Field,
Service:-,Service,Field,
ProcessName:C:\\Windows\\System32\\Dism.exe,ProcessName,Field,
ProcessName:C:\\Windows\\System32\\rundll32.exe,ProcessName,Field,
ProcessName:C:\\Windows\\System32\\fltMC.exe,ProcessName,Field,
ProcessName:C:\\Windows\\HelpPane.exe,ProcessName,Field,
ProcessName:C:\\Windows\\System32\\mmc.exe,ProcessName,Field,
ProcessName:C:\\Windows\\System32\\svchost.exe,ProcessName,Field,
ProcessName:C:\\Windows\\System32\\wimserv.exe,ProcessName,Field,
ProcessName:C:\\Windows\\System32\\RuntimeBroker.exe,ProcessName,Field,
ProcessName:C:\\Windows\\System32\\SystemSettingsBroker.exe,ProcessName,Field,
ProcessName:C:\\Windows\\explorer.exe,ProcessName,Field,
ProcessName:\\procexp64.exe,ProcessName,Field,
ProcessName:\\procexp.exe,ProcessName,Field,
ProcessName:\\procmon64.exe,ProcessName,Field,
ProcessName:\\procmon.exe,ProcessName,Field,
ProcessName:\\Google\\Chrome\\Application\\chrome.exe,ProcessName,Field,
ProcessName:\\AppData\\Local\\Microsoft\\Teams\\current\\Teams.exe,ProcessName,Field,
ProcessName:C:\\Program Files\\WindowsApps\\Microsoft,ProcessName,Field,
SamAccountName:ANONYMOUS,SamAccountName,Field,
SamAccountName:LOGON,SamAccountName,Field,
TicketEncryptionType:0x17,TicketEncryptionType,Field,
ServiceName:krbtgt,ServiceName,Field,
PreAuthType:0,PreAuthType,Field,
RelativeTargetName:\\wbem\\wbemcomn.dll,RelativeTargetName,Field,
SubjectUserName:$,SubjectUserName,Field,
AccessList:%%5392,AccessList,Field,
ObjectServer:Security Account Manager,ObjectServer,Field,
ServiceFileName:ADMIN$,ServiceFileName,Field,
ServiceFileName:.exe,ServiceFileName,Field,
ServiceFileName:%COMSPEC%,ServiceFileName,Field,
ServiceFileName:start,ServiceFileName,Field,
ServiceFileName:powershell,ServiceFileName,Field,
ServiceFileName:powershell -nop -w hidden -encodedcommand,ServiceFileName,Field,
ServiceFileName:IEX (New-Object Net.Webclient).DownloadString('http://127.0.0.1:,ServiceFileName,Field,
ProcessName:\\cmd.exe,ProcessName,Field,
ProcessName:\\powershell.exe,ProcessName,Field,
ProcessName:\\pwsh.exe,ProcessName,Field,
ProcessName:\\winrs.exe,ProcessName,Field,
ProcessName:\\wmic.exe,ProcessName,Field,
ProcessName:\\net.exe,ProcessName,Field,
ProcessName:\\net1.exe,ProcessName,Field,
ProcessName:\\reg.exe,ProcessName,Field,
TargetServerName:localhost,TargetServerName,Field,
SubjectUserName:$,SubjectUserName,Field,
TargetUserName:$,TargetUserName,Field,
SidHistory:-,SidHistory,Field,
SidHistory:%%1793,SidHistory,Field,
SidHistory:None,SidHistory,Field,
Status:0x9,Status,Field,
Status:0xA,Status,Field,
Status:0xB,Status,Field,
Status:0xF,Status,Field,
Status:0x10,Status,Field,
Status:0x11,Status,Field,
Status:0x13,Status,Field,
Status:0x14,Status,Field,
Status:0x1A,Status,Field,
Status:0x1F,Status,Field,
Status:0x21,Status,Field,
Status:0x22,Status,Field,
Status:0x23,Status,Field,
Status:0x24,Status,Field,
Status:0x26,Status,Field,
Status:0x27,Status,Field,
Status:0x28,Status,Field,
Status:0x29,Status,Field,
Status:0x2C,Status,Field,
Status:0x2D,Status,Field,
Status:0x2E,Status,Field,
Status:0x2F,Status,Field,
Status:0x31,Status,Field,
Status:0x32,Status,Field,
Status:0x3E,Status,Field,
Status:0x3F,Status,Field,
Status:0x40,Status,Field,
Status:0x41,Status,Field,
Status:0x43,Status,Field,
Status:0x44,Status,Field,
FilterOrigin:AppContainer Loopback,FilterOrigin,Field,
Application:\\thor.exe,Application,Field,
Application:\\thor64.exe,Application,Field,
AccessList:%%4417,AccessList,Field,
AccessList:%%4418,AccessList,Field,
ObjectName:\\Microsoft\\Windows Defender\\Exclusions\\,ObjectName,Field,
Status:0xC0000072,Status,Field,
Status:0xC000006F,Status,Field,
Status:0xC0000070,Status,Field,
Status:0xC0000413,Status,Field,
Status:0xC000018C,Status,Field,
Status:0xC000015B,Status,Field,
SubjectUserSid:S-1-0-0,SubjectUserSid,Field,
ObjectType:Key,ObjectType,Field,
ObjectName:\\REGISTRY\\MACHINE\\SOFTWARE\\Microsoft\\ADHealthAgent,ObjectName,Field,
ProcessName:Microsoft.Identity.Health.Adfs.DiagnosticsAgent.exe,ProcessName,Field,
ProcessName:Microsoft.Identity.Health.Adfs.InsightsService.exe,ProcessName,Field,
ProcessName:Microsoft.Identity.Health.Adfs.MonitoringAgent.Startup.exe,ProcessName,Field,
ProcessName:Microsoft.Identity.Health.Adfs.PshSurrogate.exe,ProcessName,Field,
ProcessName:Microsoft.Identity.Health.Common.Clients.ResourceMonitor.exe,ProcessName,Field,
ServiceFileName:mshta,ServiceFileName,Field,
ServiceFileName:vbscript:createobject,ServiceFileName,Field,
ServiceFileName:.run,ServiceFileName,Field,
ServiceFileName:window.close,ServiceFileName,Field,
ShareName:\\\\\\\\\\*\\\\IPC$,ShareName,Field,
ServiceFileName:(Clipboard|i,ServiceFileName,Field,
ObjectName:\\Microsoft\\Windows Defender\\Exclusions\\,ObjectName,Field,
ObjectType:File,ObjectType,Field,
RelativeTargetName:\\desktop.ini,RelativeTargetName,Field,
AccessList:WriteData,AccessList,Field,
AccessList:DELETE,AccessList,Field,
AccessList:WriteDAC,AccessList,Field,
AccessList:AppendData,AccessList,Field,
AccessList:AddSubdirectory,AccessList,Field,
