"id:ID",":Modifier","type"
"modifier0253","","contains"
"modifier0254","","contains"
"modifier0255","","contains"
"modifier0256","","contains"
"modifier0257","","contains"
"modifier0258","","contains"
"modifier0259","","contains"
"modifier0260","","contains"
"modifier0261","","contains"
"modifier0262","","contains"
"modifier0263","","contains"
"modifier0264","","endswith"
"modifier0265","","contains"
"modifier0266","","endswith"
"modifier0267","","contains"
"modifier0268","","contains"
"modifier0269","","contains"
"modifier0270","","contains"
"modifier0271","","contains"
"modifier0272","","contains"
"modifier0273","","contains"
"modifier0274","","contains"
"modifier0275","","endswith"
"modifier0276","","endswith"
"modifier0277","","endswith"
"modifier0278","","endswith"
"modifier0279","","endswith"
"modifier0280","","endswith"
"modifier0281","","endswith"
"modifier0282","","endswith"
"modifier0283","","endswith"
"modifier0284","","endswith"
"modifier0285","","endswith"
"modifier0286","","endswith"
"modifier0287","","endswith"
"modifier0288","","contains"
"modifier0289","","contains"
"modifier0290","","contains"
"modifier0291","","contains"
"modifier0292","","contains"
"modifier0293","","contains"
"modifier0294","","contains"
"modifier0295","","contains"
"modifier0296","","contains"
"modifier0297","","contains"
"modifier0298","","contains"
"modifier0299","","contains"
"modifier0300","","contains|all"
"modifier0301","","contains|all"
"modifier0302","","contains|all"
"modifier0303","","endswith"
"modifier0304","","contains"
"modifier0305","","endswith"
"modifier0306","","contains"
"modifier0307","","endswith"
"modifier0308","","contains"
"modifier0309","","contains"
"modifier0310","","fieldref"
"modifier0311","","contains"
"modifier0312","","contains"
"modifier0313","","contains"
"modifier0314","","contains"
"modifier0315","","re"
"modifier0316","","contains"
"modifier0317","","contains"
"modifier0318","","contains"
"modifier0319","","contains|all"
"modifier0320","","contains|all"
"modifier0321","","contains|all"
"modifier0322","","contains"
"modifier0323","","contains"
"modifier0324","","contains"
"modifier0325","","contains"
"modifier0326","","contains"
"modifier0327","","contains"
"modifier0328","","contains"
"modifier0329","","contains"
"modifier0330","","contains|all"
"modifier0331","","contains|all"
"modifier0332","","contains"
"modifier0333","","contains|all"
"modifier0334","","contains|all"
"modifier0335","","contains"
"modifier0336","","contains"
"modifier0337","","startswith"
"modifier0338","","startswith"
"modifier0339","","endswith"
"modifier0340","","endswith"
"modifier0341","","contains"
"modifier0342","","endswith"
"modifier0343","","endswith"
"modifier0344","","contains"
"modifier0345","","startswith"
"modifier0346","","startswith"
"modifier0347","","endswith"
"modifier0348","","endswith"
"modifier0349","","contains"
"modifier0350","","contains"
"modifier0351","","contains"
"modifier0352","","contains"
"modifier0353","","contains"
"modifier0354","","contains"
"modifier0355","","contains"
"modifier0356","","contains"
"modifier0357","","contains"
"modifier0358","","startswith"
"modifier0359","","startswith"
"modifier0360","","endswith"
"modifier0361","","endswith"
"modifier0362","","startswith"
"modifier0363","","endswith"
"modifier0364","","endswith"
"modifier0365","","contains"
"modifier0366","","contains"
"modifier0367","","contains"
"modifier0368","","contains"
"modifier0369","","contains"
"modifier0370","","contains"
"modifier0371","","contains"
"modifier0372","","contains"
"modifier0373","","contains"
"modifier0374","","contains"
"modifier0375","","contains"
"modifier0376","","re"
"modifier0377","","startswith"
"modifier0378","","contains"
"modifier0379","","contains"
"modifier0380","","endswith"
"modifier0381","","endswith"
"modifier0382","","endswith"
"modifier0383","","endswith"
"modifier0384","","endswith"
