id:ID,:Category
antivirus,
appliance,
application,
create_remote_thread,
create_stream_hash,
database,
dns,
dns_query,
driver_load,
file_access,
file_change,
file_delete,
file_event,
file_executable_detected,
file_rename,
firewall,
image_load,
network_connection,
pipe_created,
process_access,
process_creation,
process_tampering,
proxy,
ps_classic_provider_start,
ps_classic_start,
ps_module,
ps_script,
registry_add,
registry_delete,
registry_event,
registry_set,
sysmon_error,
sysmon_status,
webserver,
wmi_event,
