id:ID,:Group
g0001,
g0004,
g0007,
g0010,
g0020,
g0022,
g0027,
g0030,
g0032,
g0035,
g0044,
g0045,
g0046,
g0047,
g0049,
g0050,
g0060,
g0064,
g0069,
g0080,
g0091,
g0093,
g0115,
g0125,
g0128,
g0129,
