"id:ID",":Value"
"",""
" ",""
"      .exe",""
" ""Administrador"" ",""
" ""Administrateur"" ",""
" ""Administrator"" ",""
" ""Administratör"" ",""
" ""C:\\",""
" ""C:\\Windows\\",""
" ""DefaultAccount"" ",""
" ""Järjestelmänvalvoja"" ",""
" ""Rendszergazda"" ",""
" ""eyJ0eX""",""
" ""eyJhbG""",""
" ""guest"" ",""
" ""Администратор"" ",""
" #",""
" %",""
" %public%",""
" & ",""
" ''Administrador'' ",""
" ''Administrateur'' ",""
" ''Administrator'' ",""
" ''Administratör'' ",""
" ''C:\\",""
" ''C:\\Windows\\",""
" ''DefaultAccount'' ",""
" ''Järjestelmänvalvoja'' ",""
" ''Rendszergazda'' ",""
" ''eyJ0eX''",""
" ''eyJhbG''",""
" ''guest'' ",""
" ''Администратор'' ",""
" (compatible;MSIE ",""
" +h ",""
" +r ",""
" +s",""
" +s ",""
" --",""
" --CollectionMethods Session ",""
" --Loop --Loopduration ",""
" --NoSaveCache ",""
" --PortScanTimeout ",""
" --adcs ",""
" --algo=rx/0 ",""
" --bhdump ",""
" --buildcache ",""
" --cachefilename ",""
" --certdump ",""
" --cmd",""
" --command cmd",""
" --command powershell",""
" --cpu-priority=",""
" --data ",""
" --dnsdump ",""
" --download ",""
" --dump-bitlocker",""
" --dump-hash-domain ",""
" --dump-hash-domain-cached",""
" --dump-hash-local",""
" --eval ",""
" --exploitId ",""
" --full ",""
" --local-auth",""
" --lua-exec ",""
" --name ",""
" --nicehash",""
" --outputdirectory",""
" --port ",""
" --processStart",""
" --remote-debugging-",""
" --remove",""
" --sh-exec ",""
" --system ",""
" --ti ",""
" --uninstall",""
" --update ",""
" --updateRollback=",""
" --user system ",""
" --user-agent ",""
" --wipe > /dev/null",""
" -@t",""
" -A ",""
" -All",""
" -All ",""
" -AllowUnsigned",""
" -CollectionMethod All ",""
" -ComputerName ",""
" -Confirm ""False""",""
" -D ..",""
" -D C:\\",""
" -DeliverToMailboxAndForward ",""
" -Domain ",""
" -E ",""
" -Embedding",""
" -Enabled ",""
" -EncodedCommand",""
" -EncodedCommand ",""
" -Encoding ",""
" -ExclusionExtension ",""
" -ExclusionIpAddress ",""
" -ExclusionPath ",""
" -ExclusionProcess ",""
" -ExecutionPolicy bypass ",""
" -ExecutionPolicy remotesigned ",""
" -FO CSV",""
" -FilePath ",""
" -FilePath \\\\\\\\",""
" -Filter \\*",""
" -ForwardingSmtpAddress ",""
" -H ",""
" -H ''NTHASH''",""
" -Identity ",""
" -Include ",""
" -Inject ",""
" -JsonFolder ",""
" -L ",""
" -LoadDLL ",""
" -M ",""
" -M pe_inject ",""
" -Mailbox ",""
" -NoP ",""
" -NoP -NonI -W Hidden -enc ",""
" -NoP -NonI -c $x=$((gp HKCU:Software\\Microsoft\\Windows Update).Update);",""
" -NoP -NonI -w Hidden -c $x=$((gp HKCU:Software\\Microsoft\\Windows Update).Update)",""
" -NoP -sta -NonI -W Hidden -Enc ",""
" -NoPr ",""
" -NoPro ",""
" -NoProf ",""
" -NoProfi ",""
" -NoProfil ",""
" -O",""
" -P ",""
" -P 22",""
" -P 443",""
" -PayloadArgs ",""
" -PayloadFile ",""
