id,name
2ef9f9be-09d5-5d3f-9833-38376ec124d8,attack.t1552.006
da3dfe51-5668-5cad-882d-e58c9e5a4d39,attack.t1112
3080222b-1376-5f54-b303-87f0025b18a6,attack.t1003
200ef475-f701-5f72-9c5c-a36719705cb1,attack.t1036.008
5db775d4-e434-58ea-8da9-3dfcdfdd06fd,attack.t1547.001
640d1595-2f4b-54b3-aecc-a37c192ac782,attack.t1555.003
7d6f0097-4856-59bf-91d0-66b830a47e46,attack.t1546.003
bc526371-1be5-5dc2-a3ff-2cf44fac0da1,attack.t1115
1a7b968b-31de-5822-a86e-4320af6438fd,attack.t1090
cf2a3761-f382-5104-9d7a-85076baac471,attack.t1573
bc66cf22-57ea-5725-adec-aa4347396ba0,attack.s0183
a5ce03bc-bc0d-5424-a028-a578389b68de,detection.emerging-threats
f9ea01cf-394e-544f-ae8c-828a6c89e94e,attack.t1071.004
ea90860f-c04a-5667-810b-56c1b8b542ab,attack.t1129
4901a7e8-44b4-522b-92ec-c985e38567d8,cve.2025-30406
c8ec0997-7e9b-530b-9673-e73b551189ac,cve.2025-33053
e76e1d15-aebb-59b6-8045-51e1eb1d2970,attack.t1190
cb6d7e38-c2b8-51eb-8dc3-88d973cb1397,cve.2025-31324
36bfd353-f3b9-5a77-b1c4-d1cfb201f740,attack.t1574.008
53bdb992-cb16-56ee-8714-33244fe6c3db,cve.2025-49144
788f648f-0ef5-5ce7-a0b4-09fcb9916740,cve.2025-4427
0f510b1e-b3a8-51d5-9a10-de30982872ce,cve.2025-4428
b723f6b3-3350-59c1-a284-fa3b7a5e9ae3,cve.2025-31161
9d959260-6b45-5112-b992-f0702326b355,cve.2025-53770
12547657-ba8a-54bc-a6ab-41c99634bc77,attack.g0035
0ca5b97b-d120-5695-be10-479ccbd097a6,attack.t1036.003
75f60132-23bb-5dbf-a89f-23a271f9d612,car.2013-05-009
886bdb6f-c227-5a36-9108-6d7b6cd96d70,attack.g0020
249407d2-2918-51ac-bf46-24cfb807c55b,attack.g0045
802fb833-3275-5a1d-adb7-feb2f0b5211b,attack.g0010
5adfeeb3-ecb0-5555-8314-ee5a8fc5fa37,attack.t1543.003
ab630764-e621-5e97-b9ee-a0d5e9430c28,attack.t1036.005
e282fec2-5709-599d-b679-c7f2b81bee16,attack.t1210
0714d7f4-5a56-5111-ad57-76f46a2fcaab,attack.t1083
44d6ca00-3033-53e9-9c18-9430dc5eac83,attack.t1486
18996de6-c72b-55d1-8485-0616534ba92e,attack.s0013
92d11f04-e170-5a99-8e1f-62473054f5aa,attack.t1574.001
f55d85bc-be45-598e-9c5d-296740f63fb8,attack.g0064
e7ff3108-42e9-5944-a7af-ed4ffad44dd3,attack.t1070.001
9e616db3-fcdd-527c-852f-35624ecbc85b,car.2016-04-002
a3f16393-df0a-53d4-bb73-c22c79fb7d06,attack.t1566.001
ccbcc126-b271-5143-bfed-ad87ce9b99eb,cve.2017-11882
84dbbfc3-0477-58e1-85a8-dc3dedba9dca,cve.2017-0261
64de9f42-5b7c-5820-aae3-061bb60415b1,cve.2017-8759
b56e6f9f-4eac-5644-acd9-8865162fc138,attack.g0129
