start_id,end_id,type
35e13af0-7168-5cc4-8ec0-687f29179c06,013f00ce-3e0d-59a7-860d-b1bd0a053ec1,HAS_DESCRIPTION
013f00ce-3e0d-59a7-860d-b1bd0a053ec1,ea9b7d93-a6f7-5ac8-924f-f14023e41e08,HAS_DETECTION
2f005722-7cc2-5845-8393-dfb606f55851,35e13af0-7168-5cc4-8ec0-687f29179c06,TAGGED
3e273de8-d457-5aa8-b653-f9ffab20ca3a,35e13af0-7168-5cc4-8ec0-687f29179c06,TAGGED
cf7efd86-28d4-5d48-b09e-cf46fcccfc06,0878e614-9f8e-5bf0-8a07-14b953fa9a82,HAS_DESCRIPTION
0878e614-9f8e-5bf0-8a07-14b953fa9a82,5a381d9a-b968-58db-be3a-c62d9b8d6c32,HAS_DETECTION
5c3a7ba2-0955-5a71-8939-731e0e3ea461,cf7efd86-28d4-5d48-b09e-cf46fcccfc06,TAGGED
e55be0c9-cdf3-5d40-b670-ad108f344d35,cf7efd86-28d4-5d48-b09e-cf46fcccfc06,TAGGED
3e273de8-d457-5aa8-b653-f9ffab20ca3a,cf7efd86-28d4-5d48-b09e-cf46fcccfc06,TAGGED
680ddf64-6757-526c-936d-d8e1edad1fc5,a613dca1-39b8-51cf-886a-3d43d216a42c,HAS_DESCRIPTION
a613dca1-39b8-51cf-886a-3d43d216a42c,9088b970-a51d-50ef-9570-3a85d1a447d1,HAS_DETECTION
ef53988f-3853-5a0a-aa4d-3a4efc1f5b2f,680ddf64-6757-526c-936d-d8e1edad1fc5,TAGGED
cc1890b6-782e-5616-8c34-b233571af59f,680ddf64-6757-526c-936d-d8e1edad1fc5,TAGGED
3e273de8-d457-5aa8-b653-f9ffab20ca3a,680ddf64-6757-526c-936d-d8e1edad1fc5,TAGGED
7e375672-80b6-5cdd-9876-165ca5992a40,81bbbecf-dbbe-55a1-9067-523a632ae2f0,HAS_DESCRIPTION
81bbbecf-dbbe-55a1-9067-523a632ae2f0,aa5bf69d-20bf-58b0-9272-758126a42f16,HAS_DETECTION
93fd4f97-6fac-5886-8de9-cb6b1fd4f407,7e375672-80b6-5cdd-9876-165ca5992a40,TAGGED
2c0ecff0-6bac-5e56-9d35-2f4e66a21d40,7e375672-80b6-5cdd-9876-165ca5992a40,TAGGED
3e273de8-d457-5aa8-b653-f9ffab20ca3a,7e375672-80b6-5cdd-9876-165ca5992a40,TAGGED
8e601a28-0b2f-58e3-8410-8946f151aaa6,81762190-3175-5e68-82ef-2ffbaf09bd73,HAS_DESCRIPTION
81762190-3175-5e68-82ef-2ffbaf09bd73,80707663-7af5-5cb6-9139-c77eb939455d,HAS_DETECTION
adcdf164-cd07-577a-a4e1-ee91cd62aa95,8e601a28-0b2f-58e3-8410-8946f151aaa6,TAGGED
1c4982b7-2e31-56ff-9df4-c0996b91340f,8e601a28-0b2f-58e3-8410-8946f151aaa6,TAGGED
3e273de8-d457-5aa8-b653-f9ffab20ca3a,8e601a28-0b2f-58e3-8410-8946f151aaa6,TAGGED
c3ae3860-aa25-50bb-8940-3bdff29922e0,a36b72f4-ce1b-5176-8995-e71f0bdd2b30,HAS_DESCRIPTION
a36b72f4-ce1b-5176-8995-e71f0bdd2b30,40d257e8-6fbb-5e71-b979-1166bc5363fa,HAS_DETECTION
e629ccad-1a40-5c11-b363-73216feb0376,c3ae3860-aa25-50bb-8940-3bdff29922e0,TAGGED
3e273de8-d457-5aa8-b653-f9ffab20ca3a,c3ae3860-aa25-50bb-8940-3bdff29922e0,TAGGED
b2f7f77e-848b-5dac-b5ed-64c3459f5424,6c6e4cc4-0e5a-5498-b9a5-3f0d76c8087a,HAS_DESCRIPTION
6c6e4cc4-0e5a-5498-b9a5-3f0d76c8087a,4ad84f39-9dbf-5c5d-8a24-c36aba18855f,HAS_DETECTION
2f005722-7cc2-5845-8393-dfb606f55851,b2f7f77e-848b-5dac-b5ed-64c3459f5424,TAGGED
5856da1a-0b4f-5052-acd3-4ab8aedebfdc,b2f7f77e-848b-5dac-b5ed-64c3459f5424,TAGGED
7acf31ed-a385-5694-94d4-51b3ee9bee9a,b2f7f77e-848b-5dac-b5ed-64c3459f5424,TAGGED
3e273de8-d457-5aa8-b653-f9ffab20ca3a,b2f7f77e-848b-5dac-b5ed-64c3459f5424,TAGGED
7c44ca81-ef9a-5a9d-8a84-84448c864d38,5da7422c-4b6e-59b4-abd1-bb613f808963,HAS_DESCRIPTION
5da7422c-4b6e-59b4-abd1-bb613f808963,d0c21f30-a7a8-59e5-90a8-cfcf61d0d304,HAS_DETECTION
