"id:ID",":Software"
"s0002",""
"s0005",""
"s0013",""
"s0029",""
"s0039",""
"s0040",""
"s0081",""
"s0106",""
"s0108",""
"s0111",""
"s0139",""
"s0154",""
"s0183",""
"s0190",""
"s0195",""
"s0246",""
"s0349",""
"s0363",""
"s0402",""
"s0404",""
"s0412",""
"s0482",""
"s0508",""
"s0575",""
"s0592",""
